companyName,type,website,etsy,instagram,facebook,twitter,pinterest,event
John Gazurian Pottery,pottery,http://www.johngazurianpottery.com/,https://etsy.com/shop/jgpottery,,https://www.facebook.com/johngazurianpottery,,,Brick and Board 2017-07-20
Evolve Woodworks,wood,http://evolvewoodworks.com/,,https://www.instagram.com/evolvewoodworks/,https://www.facebook.com/EvolveWoodworks,,https://www.pinterest.com/evolvewoodworks/,Brick and Board 2017-07-20
ANG Pottery,pottery,http://angpottery.com/,,,,,,Brick and Board 2017-07-20
Mondo Deco,,http://shopmondodeco.com/,,https://www.instagram.com/shopmondodeco/,https://www.facebook.com/shopmondodeco/,,,Brick and Board 2017-07-20
Priya Means Love,,,https://www.etsy.com/shop/priyameanslove,,,,,Brick and Board 2017-07-20
Heavy Paper,,http://heavypaper.bigcartel.com/,,,,,,Brick and Board 2017-07-20
Renee Tantillo,,https://www.flickr.com/people/reneetantillo/,,,,,,Brick and Board 2017-07-20
McLain Wiesand,,http://www.mclainwiesand.com/,,https://www.instagram.com/mclainwiesand/,https://www.facebook.com/mclainwiesandcustomfurniture,,https://www.pinterest.com/mclainwiesand/,Brick and Board 2017-07-20
Studios on Sisson,,https://www.studiosonsisson.com/,,,https://www.facebook.com/Luke-Steckel-Enterprises-LLC-394866063874002/,,,Brick and Board 2017-07-20
Jill Orlov,,http://jillorlov.com/,,,,,,Brick and Board 2017-07-20
Rybak Woodworking,wood,https://www.rybakwoodworking.com/,,https://www.instagram.com/rybakwoodworking/,https://www.facebook.com/RybakWoodworking/,https://twitter.com/RybakWoodWork,,Brick and Board 2017-07-20
David Zimmerman Woodworks,wood,https://www.dzww.studio/,,https://www.instagram.com/dz.ww/,,,,Brick and Board 2017-07-20
Bliss Woodworks,wood,http://www.blisswoodworks.com/,,https://www.instagram.com/blisswoodworks/,https://www.facebook.com/BlissWoodworks/,,,Brick and Board 2017-07-20
Urban Roots,,,,,https://www.facebook.com/UrbanRootsCompany,https://twitter.com/UrbanRootsGrow,,Brick and Board 2017-07-20
Joshua David Crown,,http://www.joshuadavidcrown.com/,,,,,,Brick and Board 2017-07-20
Marco Duenas,,http://www.marcoduenas.com/,,https://www.instagram.com/madeinbaltimore/,,,,Brick and Board 2017-07-20
Monkey in the Metal,,http://monkeyinthemetal.com/,,,https://www.facebook.com/MonkeyInTheMetal,https://twitter.com/WeldingNick,,Brick and Board 2017-07-20
Hadley Woodshop,wood,https://hadleywoodshop.com/,,https://www.instagram.com/magic_chr1st1an/,,,https://www.pinterest.com/chr1st1and/twilight-of-ideas-how-i-philosophize-with-a-hammer/,Brick and Board 2017-07-20
